ontolex.LexicalSense	lexicog.usageExample	lexinfo.note	rdfs.comment	rdfs.label.en	rdfs.label.la	rdfs.label.pt	skos.definition.la	skos.definition.pt	skos.note
lexicalSense:n1010.sg01.s99	usageExample:n1010.sg01.s99.u01, usageExample:n1010.sg01.s99.u02, usageExample:n1010.sg01.s99.u03		This definitionless sense is an instance of the ontolex:LexicalSense class created to function as a container sense to convey dictionary examples and other phrase-level dictionary elements presented as a separate block by the lexicographer.	Further meanings (see related usage examples)					
lexicalSense:n1011.sg01.s01						a descida		 a descida 	
lexicalSense:n1012.sg01.s01						semear		 semear 	
lexicalSense:n1012.sg10.s01	usageExample:n1012.sg10.s01.u01					Deixar		 Deixar , desamparar , destruir 	deserui, desertum
lexicalSense:n1013.sg01.s01						cousa preguiçosa		 cousa preguiçosa , e para pouco 	
lexicalSense:n1014.sg01.s01						descer de salto		 descer de salto 	
lexicalSense:n1014.sg10.s01						o que salta de hum cavallo a outro		 o que salta de hum cavallo a outro 	qui equi desultorij dicuntur.
lexicalSense:n1014.sg20.s01					pro Desultore		 pro Desultore , & inconstanti 		
lexicalSense:n1015.sg01.s01	usageExample:n1015.sg01.s01.u01					deixar		 deixar , cessar , acabar , terminar 	Activ.
lexicalSense:n1016.sg01.s01						enlouquecer		 enlouquecer , delirar 	Neutr. abs.
lexicalSense:n1017.sg01.s01	usageExample:n1017.sg01.s01.u01					assolar		 assolar , destruir , privar 	
lexicalSense:n1018.sg01.s01						o despreso		 o despreso 	
lexicalSense:n1018.sg10.s01	usageExample:n1018.sg10.s01.u01					o mesmo		 o mesmo , ou a vista de cima para baixo 	
lexicalSense:n1019.sg01.s01						desposar		 desposar , prometer 	aliquid alicui.
lexicalSense:n1019.sg01.s99	usageExample:n1019.sg01.s99.u01, usageExample:n1019.sg01.s99.u02		This definitionless sense is an instance of the ontolex:LexicalSense class created to function as a container sense to convey dictionary examples and other phrase-level dictionary elements presented as a separate block by the lexicographer.	Further meanings (see related usage examples)					
lexicalSense:n1020.sg01.s01	usageExample:n1020.sg01.s01.u01					deixar		 deixar , desamparar , destruir , privar 	
lexicalSense:n1020.sg01.s02		Interdum			pro ponere		 pro ponere , & constituere 		
lexicalSense:n1021.sg01.s01						faltar		 faltar 	
lexicalSense:n1021.sg01.s99	usageExample:n1021.sg01.s99.u01		This definitionless sense is an instance of the ontolex:LexicalSense class created to function as a container sense to convey dictionary examples and other phrase-level dictionary elements presented as a separate block by the lexicographer.	Further meanings (see related usage examples)					
lexicalSense:n1022.sg01.s01	usageExample:n1022.sg01.s01.u01					de cima		 de cima 	
lexicalSense:n1023.sg01.s01	usageExample:n1023.sg01.s01.u01					espantar		 espantar , apartar com medo 	
lexicalSense:n1024.sg01.s01	usageExample:n1024.sg01.s01.u01, usageExample:n1024.sg01.s01.u02					tirar		 tirar 	
lexicalSense:n1025.sg01.s01	usageExample:n1025.sg01.s01.u01					empurrar		 empurrar , lançar fora 	
lexicalSense:n1025.sg01.s02		Ponitur etiam			pro compello		 pro compello 		
lexicalSense:n1025.sg01.s99	usageExample:n1025.sg01.s99.u01		This definitionless sense is an instance of the ontolex:LexicalSense class created to function as a container sense to convey dictionary examples and other phrase-level dictionary elements presented as a separate block by the lexicographer.	Further meanings (see related usage examples)					
lexicalSense:n1026.sg01.s01						derribar		 derribar , lançar de baixo com violencia 	
lexicalSense:n1026.sg01.s99	usageExample:n1026.sg01.s99.u01, usageExample:n1026.sg01.s99.u02, usageExample:n1026.sg01.s99.u03		This definitionless sense is an instance of the ontolex:LexicalSense class created to function as a container sense to convey dictionary examples and other phrase-level dictionary elements presented as a separate block by the lexicographer.	Further meanings (see related usage examples)					
lexicalSense:n1027.sg01.s01						onze onças		 onze onças , ou certa medida 	
lexicalSense:n1028.sg01.s01						Deos		 Deos 	à dando paecipué dictus
lexicalSense:n1029.sg01.s01	usageExample:n1029.sg01.s01.u01					cousa da parte direita		 cousa da parte direita 	
lexicalSense:n1029.sg01.s02		Significa tambem				cousa destra		 cousa destra , ou agil , prospera , ou favoravel 	cum dat.
lexicalSense:n1030.sg01.s01						pela parte direita		 pela parte direita 	
lexicalSense:n1030.sg10.s01						a maõ direita		 a maõ direita 	
lexicalSense:n1030.sg10.s99	usageExample:n1030.sg10.s99.u01		This definitionless sense is an instance of the ontolex:LexicalSense class created to function as a container sense to convey dictionary examples and other phrase-level dictionary elements presented as a separate block by the lexicographer.	Further meanings (see related usage examples)					
lexicalSense:n1031.sg01.s01						para a parte da maõ direita		 para a parte da maõ direita 	
lexicalSense:n1032.sg01.s01	usageExample:n1032.sg01.s01.u01	e				significa separaçaõ		 significa separaçaõ , e diversidade 	
lexicalSense:n1033.sg01.s01						nome de uma Deosa		 nome de uma Deosa , Ilha , e de varias Cidades 	
lexicalSense:n1034.sg01.s01						arte de disputar		 arte de disputar , e distinguir o verdadeiro do falso 	
lexicalSense:n1034.sg10.s01						livros de Dialectica		 livros de Dialectica 	
lexicalSense:n1035.sg01.s01						propriedade de qualquer lingua		 propriedade de qualquer lingua 	
lexicalSense:n1036.sg01.s01						linha		 linha , que corta alguma cousa pelo meyo 	
lexicalSense:n1036.sg01.s99	usageExample:n1036.sg01.s99.u01		This definitionless sense is an instance of the ontolex:LexicalSense class created to function as a container sense to convey dictionary examples and other phrase-level dictionary elements presented as a separate block by the lexicographer.	Further meanings (see related usage examples)					
lexicalSense:n1037.sg01.s01						filha de Jupiter		 filha de Jupiter , e Latona , irmaã de Apollo 	Eadem & Luna dicitur, & Noctiluca, Lucina, & Proserpina, sive Hecate. Plures fuerunt Dianae.
lexicalSense:n1038.sg01.s01						dizer		 dizer , orar , fallar 	
lexicalSense:n1038.sg01.s02					Pro promittere		 Pro promittere 		aliquid alicui.
lexicalSense:n1038.sg01.s99	usageExample:n1038.sg01.s99.u01, usageExample:n1038.sg01.s99.u02, usageExample:n1038.sg01.s99.u03, usageExample:n1038.sg01.s99.u04, usageExample:n1038.sg01.s99.u05, usageExample:n1038.sg01.s99.u06		This definitionless sense is an instance of the ontolex:LexicalSense class created to function as a container sense to convey dictionary examples and other phrase-level dictionary elements presented as a separate block by the lexicographer.	Further meanings (see related usage examples)					
lexicalSense:n1038.sg10.s01						a palavra		 a palavra , ditto , ou facecia 	
lexicalSense:n1038.sg10.s99	usageExample:n1038.sg10.s99.u01		This definitionless sense is an instance of the ontolex:LexicalSense class created to function as a container sense to convey dictionary examples and other phrase-level dictionary elements presented as a separate block by the lexicographer.	Further meanings (see related usage examples)					
lexicalSense:n1038.sg20.s01						dicçaõ		 dicçaõ , voz , arrezoado 	
lexicalSense:n1038.sg30.s01	usageExample:n1038.sg30.s01.u01					ditar		 ditar , o que outrem escreve , suggerir 	
lexicalSense:n1038.sg30.s99	usageExample:n1038.sg30.s99.u01		This definitionless sense is an instance of the ontolex:LexicalSense class created to function as a container sense to convey dictionary examples and other phrase-level dictionary elements presented as a separate block by the lexicographer.	Further meanings (see related usage examples)					
lexicalSense:n1038.sg40.s01						o que o Mestre dá a escrever aos discipulos		 o que o Mestre dá a escrever aos discipulos 	
lexicalSense:n1038.sg40.s02						regras		 regras , ou documentos 	
lexicalSense:n1038.sg50.s01						mottes		 mottes , dittos galantes , ou picantes 	
lexicalSense:n1039.sg01.s01						poejo sylvestre		 poejo sylvestre 	
lexicalSense:n1040.sg01.s01						desejar dizer		 desejar dizer 	
lexicalSense:n1041.sg01.s01						Elisa Rainha		 Elisa Rainha , que fundou Carthago 	
lexicalSense:n1042.sg01.s01						o dia		 o dia 	dubij generis, sed in plurali masc. tantùm
lexicalSense:n1042.sg01.s02					pro tempore indeterminato		 pro tempore indeterminato 		foem.
lexicalSense:n1042.sg01.s99	usageExample:n1042.sg01.s99.u01, usageExample:n1042.sg01.s99.u02, usageExample:n1042.sg01.s99.u03, usageExample:n1042.sg01.s99.u04, usageExample:n1042.sg01.s99.u05, usageExample:n1042.sg01.s99.u06, usageExample:n1042.sg01.s99.u07, usageExample:n1042.sg01.s99.u08		This definitionless sense is an instance of the ontolex:LexicalSense class created to function as a container sense to convey dictionary examples and other phrase-level dictionary elements presented as a separate block by the lexicographer.	Further meanings (see related usage examples)					
lexicalSense:n1042.sg10.s01						o espaço		 o espaço , ou detença breve 	
lexicalSense:n1043.sg01.s01						estender		 estender , dilatar , prolongar , levar para diversas partes , divulgar 	
lexicalSense:n1043.sg01.s99	usageExample:n1043.sg01.s99.u01, usageExample:n1043.sg01.s99.u02		This definitionless sense is an instance of the ontolex:LexicalSense class created to function as a container sense to convey dictionary examples and other phrase-level dictionary elements presented as a separate block by the lexicographer.	Further meanings (see related usage examples)					
lexicalSense:n1044.sg01.s01						desconfiar		 desconfiar 	alicui, vel aliquo.
lexicalSense:n1045.sg01.s01						fendar em diversas partes		 fendar em diversas partes , dividir 	Act.
lexicalSense:n1046.sg01.s01						negar		 negar 	Depon. cum accus. reperitur.
lexicalSense:n1047.sg01.s01	usageExample:n1047.sg01.s01.u01, usageExample:n1047.sg01.s01.u02					correr		 correr , ou escorrer para diversas partes , derreter - se , banhar - se 	
lexicalSense:n1048.sg01.s01	usageExample:n1048.sg01.s01.u01, usageExample:n1048.sg01.s01.u02					julgar por digno		 julgar por digno 	
lexicalSense:n1049.sg01.s01	usageExample:n1049.sg01.s01.u02					cousa digna		 cousa digna 	gen. vel abl. | Interdum sine casu cum Qui, quae, quod, & Conjunctivo
lexicalSense:n1049.sg10.s01						a dignidade		 a dignidade , honra , honestidade , gravidade , madureza no fallar 	
lexicalSense:n1049.sg10.s02		Interdum			pro virili pulchritudine		 pro virili pulchritudine 		
lexicalSense:n1050.sg01.s01						apartamento		 apartamento , digressaõ 	
lexicalSense:n1051.sg01.s01						dar a diversos		 dar a diversos 	cum accus. & dat.
lexicalSense:n1052.sg01.s01						amar		 amar 	Act.
lexicalSense:n1052.sg10.s01						cousa diligente		 cousa diligente , cuidadosa , curiosa 	cum gen. invenitur.
lexicalSense:n1053.sg01.s01	usageExample:n1053.sg01.s01.u01, usageExample:n1053.sg01.s01.u02, usageExample:n1053.sg01.s01.u03					lavar		 lavar , alimpar , delir , desfazer , refutar 	
lexicalSense:n1053.sg01.s02	usageExample:n1053.sg01.s02.u01	Por				calcinar		 calcinar , temperar , ou misturar alguma cousa com algum liquor 	accus. & abl.
lexicalSense:n1053.sg10.s01					vinum		 vinum 		
lexicalSense:n1053.sg10.s02					pro molli		 pro molli , ac remisso 		
lexicalSense:n1054.sg01.s01						diluvio		 diluvio , inundaçaõ de agoa 	
lexicalSense:n1054.sg01.s02		translatè				pela destruiçaõ		 pela destruiçaõ 	apud Virg.
lexicalSense:n1055.sg01.s01						medir		 medir , traçar 	
lexicalSense:n1055.sg10.s01					idem		 idem , quod Diametros 		
lexicalSense:n1056.sg01.s01						pelejar		 pelejar 	
lexicalSense:n1056.sg01.s99	usageExample:n1056.sg01.s99.u01		This definitionless sense is an instance of the ontolex:LexicalSense class created to function as a container sense to convey dictionary examples and other phrase-level dictionary elements presented as a separate block by the lexicographer.	Further meanings (see related usage examples)					
lexicalSense:n1057.sg01.s01	usageExample:n1057.sg01.s01.u01					cousa partida pelo meyo		 cousa partida pelo meyo , ou metade 	cum gen.
lexicalSense:n1057.sg01.s99	usageExample:n1057.sg01.s99.u01		This definitionless sense is an instance of the ontolex:LexicalSense class created to function as a container sense to convey dictionary examples and other phrase-level dictionary elements presented as a separate block by the lexicographer.	Further meanings (see related usage examples)					
lexicalSense:n1058.sg01.s01						mover		 mover , espalhar , apartar 	
lexicalSense:n1059.sg01.s01						cabeços do monte Ida de Phrygia		 cabeços do monte Ida de Phrygia , reyno de Asia menor 	
lexicalSense:n1060.sg01.s01						contar		 contar , pagar contando 	accus. & dat.
lexicalSense:n1061.sg01.s01						a Diecese		 a Diecese , provincia , territorio , administraçaõ , jurisdiçaõ , Bispado , etc 	
lexicalSense:n1062.sg01.s01						hum Rey de Etolia		 hum Rey de Etolia , e outro de Thracia 	
lexicalSense:n1063.sg01.s01						festas de Baccho		 festas de Baccho 	
lexicalSense:n1063.sg10.s01					urbs Italiae		 urbs Italiae 		
lexicalSense:n1063.sg10.s02		e				nome de huma dançadeira		 nome de huma dançadeira 	
lexicalSense:n1064.sg01.s01						nome de Baccho		 nome de Baccho , e outros muitos 	
lexicalSense:n1064.sg01.s99	usageExample:n1064.sg01.s99.u01		This definitionless sense is an instance of the ontolex:LexicalSense class created to function as a container sense to convey dictionary examples and other phrase-level dictionary elements presented as a separate block by the lexicographer.	Further meanings (see related usage examples)					
lexicalSense:n1065.sg01.s01						sanja		 sanja , ou cano para regar campos 	
lexicalSense:n1066.sg01.s01						ajuntamento de duas vogaes		 ajuntamento de duas vogaes 	
lexicalSense:n1067.sg01.s01						privilegio		 privilegio , ou letras patentes , ou provisaõ do Rey , ou Principe 	
lexicalSense:n1067.sg01.s02						bulla		 bulla , ou letras do Papa 	
lexicalSense:n1068.sg01.s01						moeda de oito reis		 moeda de oito reis 	
lexicalSense:n1069.sg01.s01						execraçoens		 execraçoens , pragas 	
lexicalSense:n1069.sg10.s01						Furias		 Furias 	quae in Coelo Dirae, in terris Furiae, in Inferis Eumenides dicuntur à Poetis: unde & tres numerantur.
lexicalSense:n1070.sg01.s01	usageExample:n1070.sg01.s01.u01, usageExample:n1070.sg01.s01.u02, usageExample:n1070.sg01.s01.u03, usageExample:n1070.sg01.s01.u04					dividir		 dividir , separar , apartar atalhar 	
